Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-09-30,0.0,0.279232,742607000000.0,311425000000.0,282180000000.0,2100373000000.0,742607000000.0,460427000000.0,12787000000.0,18666000000.0,31453000000.0,311425000000.0,361968000000.0,2677286000000.0,428974000000.0,6022762063.0,5984920635.0,60.1,60.48,361968000000.0,361968000000.0,361968000000.0,-6982000000.0,368950000000.0,50543000000.0,318407000000.0,123354000000.0,441761000000.0,-1647000000.0,-1647000000.0,12787000000.0,18666000000.0,31453000000.0,430621000000.0,576913000000.0,23964000000.0,552949000000.0,1007534000000.0,2100373000000.0,3107907000000.0,3107907000000.0
2025-06-30,0.0,0.262986,666008000000.0,259027000000.0,274399000000.0,1775067000000.0,666008000000.0,391609000000.0,16646000000.0,35008000000.0,51654000000.0,259027000000.0,236909000000.0,2279949000000.0,339955000000.0,6046910000.0,6013191000.0,39.18,39.4,236909000000.0,236909000000.0,236909000000.0,-3793000000.0,240702000000.0,-22118000000.0,262820000000.0,93781000000.0,356601000000.0,-1711000000.0,-1711000000.0,16646000000.0,35008000000.0,51654000000.0,341666000000.0,504882000000.0,-9920000000.0,514802000000.0,846548000000.0,1775067000000.0,2621615000000.0,2621615000000.0
2025-03-31,0.0,0.018334,508371000000.0,197727000000.0,305141000000.0,1815305000000.0,508371000000.0,203230000000.0,-68333000000.0,-9329000000.0,-56933000000.0,197727000000.0,197727000000.0,2426190000000.0,203649000000.0,6059041000.0,6026889000.0,32.63,32.81,197727000000.0,197727000000.0,197727000000.0,-10935000000.0,208662000000.0,,208662000000.0,3897000000.0,212559000000.0,76838000000.0,-2729000000.0,-68333000000.0,-9329000000.0,-56933000000.0,204054000000.0,610885000000.0,11661000000.0,599224000000.0,814939000000.0,1815305000000.0,2630244000000.0,2630244000000.0
2024-12-31,0.0,0.239814,823558000000.0,373739000000.0,312285000000.0,3365302000000.0,823558000000.0,511273000000.0,24722000000.0,17220000000.0,41942000000.0,373739000000.0,373739000000.0,3936122000000.0,469331000000.0,6045926000.0,6021151000.0,61.82,62.07,373739000000.0,373739000000.0,373739000000.0,-1833000000.0,375572000000.0,,375572000000.0,118481000000.0,494053000000.0,-4121000000.0,-4121000000.0,24722000000.0,17220000000.0,41942000000.0,473452000000.0,570820000000.0,-5934000000.0,576754000000.0,1044272000000.0,3365302000000.0,4409574000000.0,4409574000000.0
2024-09-30,0.0,0.237772,693881000000.0,291756000000.0,273887000000.0,2044651000000.0,693881000000.0,419994000000.0,-4830000000.0,35483000000.0,30653000000.0,291756000000.0,338496000000.0,2579207000000.0,389341000000.0,6073205000.0,6051720000.0,55.74,55.93,338496000000.0,338496000000.0,338496000000.0,-1329000000.0,339825000000.0,46740000000.0,293085000000.0,91426000000.0,384511000000.0,-2676000000.0,-2676000000.0,-4830000000.0,35483000000.0,30653000000.0,392017000000.0,534556000000.0,-2881000000.0,537437000000.0,926573000000.0,2044651000000.0,2971224000000.0,2971224000000.0
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,21485000000.0,,,,,,,,,,,,,,,,
